anamnesis,disease
"Здравствуйте, я пришел на прием, потому что ощущаю дискомфорт при мочеиспускании. Мне кажется, что это может быть связано с инфекцией мочевыводящих путей. Я также заметил, что моча стала более мутной и имеет неприятный запах. Я не испытываю боли в животе или спине, но часто хочу пойти в туалет. Симптомы начали проявляться несколько дней назад и с тех пор не улучшились. У меня нет хронических заболеваний, которые могут быть связаны с этим. Буду благодарен за помощь в решении этой проблемы.",отит
"Здравствуйте, я пришел на прием, потому что чувствую себя очень слабым и усталым, даже после небольшой физической нагрузки, мне кажется, что я быстро утомляюсь. У меня также бывает головокружение и часто болит голова. Я заметил, что у меня бледный цвет кожи и усталые глаза. Но у меня нет болей в животе или проблем с пищеварением. Я заметил, что мои симптомы начали проявляться уже несколько недель назад, и они постепенно усугублялись. Я раньше не сталкивался с такой проблемой. У меня есть небольшое хроническое заболевание, связанное с щитовидной железой, но я не уверен, может ли это иметь отношение к моему текущему состоянию.",анемия
"Здравствуйте, я пришел на прием, потому что недавно почувствовал некоторые необычные ощущения в груди. Мне кажется, что мое сердце начало биться чаще, чем обычно, я чувствую быстрый ритм сердцебиения и время от времени бывает болезненное ощущение в груди. В последнее время я также заметил, что стал часто уставать, даже если ничего особенного не делаю. Но я не заметил никаких других симптомов, таких как учащенное дыхание, головокружение или потерю сознания. Эти ощущения начались несколько дней назад и только усиливаются. У меня нет хронических заболеваний, но мне кажется, что мое нынешнее состояние может быть связано с моими гипертоническими проблемами в прошлом.",гастрит
"Здравствуйте, я чувствую боль и жжение при мочеиспускании, а также постоянное желание пойти в туалет. Симптомы начали проявляться пару дней назад и усиливаются с каждым днем. Никаких других симптомов нет. У меня нет хронических заболеваний, которые могут быть связаны с этим. Буду благодарен за помощь в лечении.",инсульт
"Привет, я не чувствую себя слишком хорошо. У меня болит горло и я чувствую боль при глотании. У меня также есть повышенная температура, головная боль и усталость. У меня также нет аппетита и я чувствую себя слабым. Симптомы начали проявляться пару дней назад и с тех пор у меня все хуже и хуже. Я не страдаю хроническими заболеваниями, которые могут быть связаны с этой болезнью.",ангина
"Здравствуйте, я себя не очень хорошо чувствую. В последнее время у меня было затруднение с произношением слов и я часто забывал некоторые мелочи. Также у меня была небольшая слабость в правой руке и ноге. Но у меня не было боль в голове или каких-то других серьезных симптомов. Это началось около недели назад и постепенно усиливалось. У меня есть артериальная гипертензия, которую я давно лечу, но не думаю, что это связано с этим. Я надеюсь, что вы сможете мне помочь.",корь
"Здравствуйте. Я чувствую себя не очень хорошо, у меня болит живот и я ощущаю тошноту. Симптомы начали проявляться пару дней назад, после того как я съел что-то жирное. Я не испытываю рвоту, но чувствую себя очень слабым. У меня нет аллергий и я не принимаю какие-либо лекарства, которые могут вызвать подобные симптомы. У меня нет хронических заболеваний, которые могут быть связаны с моим состоянием. Буду благодарен, если вы сможете мне помочь.",ветрянка
"Здравствуйте, я не чувствую себя совсем хорошо. У меня появилась сыпь по всему телу и небольшая температура. Я также ощущаю зуд и раздражение на коже. Но голова не болит и я не кашляю, никаких проблем с дыханием тоже нет. Симптомы начали проявляться примерно неделю назад, но на первых порах они были не такими выраженными. За последние пару дней мое состояние ухудшилось, я чувствую слабость и усталость. На сколько я знаю, у меня нет никаких хронических заболеваний, которые могут быть связаны с этим.",цистит
"Здравствуйте, я чувствую себя не очень хорошо. Началось все с температуры, которая держится уже несколько дней. К тому же у меня появилась сильная кашель и насморк. Кожа на моем теле начала покрываться красными пятнами, которые быстро распространяются по всему телу. Но у меня нет болей в горле и я не чувствую слабость в теле. Первые симптомы появились неделю назад, и с каждым днем мое состояние ухудшается. Я раньше не сталкивался с такими симптомами, но у меня нет хронических заболеваний, которые могут быть связаны с этим.",тахикардия
"Здравствуйте, я пришел на прием, потому что какое-то время ощущаю усталость и слабость. Недавно заметил, что мне стало труднее сосредоточиться на работе, а иногда и память подводит. Не было температуры и болей в теле, но я чувствую, что не в полном порядке. В последнее время заметил, что у меня стало учащенное сердцебиение и иногда даже кажется, что сердце начинает прыгать. Вспоминая прошлый год, я заметил, что эти симптомы начали проявляться постепенно, но в последние месяцы стали более заметными. У меня нет хронических заболеваний, которые могли бы быть связаны с этими симптомами.",отит
"Здравствуйте, я пришел на прием, потому что не чувствую себя хорошо. У меня болит ухо и есть небольшая температура. Я заметил, что у меня появились проблемы с слухом и иногда слышу шум в ушах. Кроме того, у меня нет аппетита и я чувствую себя уставшим. Я не заметил никаких симптомов, связанных с горлом или носом. Я начал замечать эти симптомы несколько дней назад и они стали усиливаться со временем. У меня нет хронических заболеваний, которые могут быть связаны с моим состоянием. Я надеюсь, что вы сможете помочь мне выяснить причину моего недомогания.",анемия
"Здравствуйте, я пришел на прием, потому что чувствую себя не очень хорошо. У меня часто начинает биться сердце очень быстро, даже когда я не делаю никаких физических упражнений или не испытываю стресс. Также у меня бывает головокружение и немного болит голова. Я не замечал у себя симптомов, связанных с давлением или болезнями легких. Примерно месяц назад начал замечать, что у меня бьется сердце чаще, но потом стало происходить все чаще и чаще. Мне кажется, что все это влияет на мою работу и жизнь в целом. Я не страдаю хроническими заболеваниями, которые могут быть связаны с моим состоянием.",гастрит
"Здравствуйте, я чувствую дискомфорт в области мочевого пузыря и постоянную необходимость ходить в туалет. Также чувствую боль при мочеиспускании. Симптомы начали появляться пару дней назад и до сих пор не проходят. Но у меня нет лихорадки и не было резкой боли в животе. Я не страдаю хроническими заболеваниями, которые могут быть связаны с этими симптомами. Скажите, что мне нужно делать, чтобы избавиться от этих неприятных ощущений?",инсульт
"Здравствуйте, я не совсем хорошо себя чувствую в последнее время. Часто бывает тошнота и неприятные ощущения в желудке. Иногда бывает изжога и боли после еды. Но у меня нет рвоты и кишечных нарушений. Я не уверен, когда начались эти симптомы, они начали появляться постепенно и периодически повторяются. Может быть, мои хронические заболевания, такие как артрит, связаны с этой проблемой? Было бы здорово, если вы смогли бы мне помочь разобраться в этом. Спасибо.",ангина
"Здравствуйте. Я пришел на прием, потому что себя не очень хорошо чувствую. У меня была высокая температура и кашель, глаза были запущены и слезились. Также у меня была сыпь на коже, которая начала проявляться сначала на лице, а потом распространилась по всему телу. Но у меня не было боли в горле или насморка. Я заметил эти симптомы несколько дней назад и они прогрессировали, пока я не пошел к врачу. У меня нет хронических заболеваний, которые могут быть связаны с этой болезнью.",корь
"Здравствуйте, я пришел на первичный прием. Сейчас я чувствую дискомфорт и неприятные ощущения в ухе. Мне кажется, что у меня может быть проблема с ушной раковиной. Я заметил, что у меня есть болезненные ощущения, особенно когда я касаюсь уха, и слышу звук, словно что-то шуршит внутри. Я не замечал у себя температуры или головной боли, но я был в контакте с больными людьми несколько дней назад. Симптомы начали проявляться около двух дней назад и ухудшаются постепенно. У меня нет хронических заболеваний, которые могут быть связаны с этой проблемой.",ветрянка
"Здравствуйте, я не чувствую себя совсем хорошо в последнее время. Я постоянно устаю, даже когда недавно отдыхал, и чувствую сильную слабость. У меня бывает головокружение, иногда у меня темнеет в глазах. Я заметил, что кожа стала бледной, а ногти и волосы стали ломкими и тусклыми. Не было никаких болей или температуры, но я чувствую, что мое здоровье ухудшается уже некоторое время. Я не уверен, когда начали проявляться первые симптомы, но они постепенно усиливались со временем. Я не страдаю хроническими заболеваниями, которые могут быть связаны с моим состоянием.",цистит
"Привет! Я чувствую себя не очень хорошо в последнее время. Началось с того, что я почувствовал легкую слабость и головную боль, а затем на моем теле появились красные пятна, которые зудят и болят. У меня также есть легкая температура и небольшие боли в мышцах. Не было никаких проблем с дыханием или желудком, и я не заметил никакой кашля или насморка. Я думаю, что это началось несколько дней назад, и с тех пор мои симптомы усиливаются. Я не имею хронических заболеваний, которые могут быть связаны с этим, но я не уверен, что могло вызвать мои симптомы.",тахикардия
"Здравствуйте, я не чувствую себя хорошо. У меня были проблемы с речью и координацией движений. Некоторое время назад я заметил, что стал часто путать слова и иногда не могу ясно выразить свои мысли. Также у меня были проблемы с балансом, я не могу стоять на одной ноге как раньше. Я не испытывал головокружение и тошноту. Я не знаю, связано ли это с моими хроническими заболеваниями, но меня начало беспокоить ухудшение зрения и повышенное давление в последнее время. Я заметил первые симптомы несколько дней назад, но они стали более выраженными с каждым днем. Я очень беспокоюсь о своем состоянии и хотел бы получить помощь.",отит
"Здравствуйте, я пришел на прием, потому что я несколько дней чувствую себя не очень хорошо. У меня бывают периоды, когда сердцебиение сильно учащается, иногда сопровождается головокружением и легким дискомфортом в груди. Эти симптомы начали проявляться около недели назад и с тех пор не уходят. Я не замечал никаких других симптомов, таких как боль в животе или сильная усталость, но все же чувствую, что что-то не так. Я раньше не сталкивался с подобными проблемами, поэтому решил обратиться к вам. Я также хотел бы упомянуть, что у меня есть история хронических заболеваний, таких как артериальная гипертензия и диабет, которые могут быть связаны с моим состоянием. Буду благодарен за вашу помощь в выяснении причины моих симптомов.",анемия
"Здравствуйте! Я несколько дней назад почувствовал, что у меня начало болеть горло и была температура. Сейчас я все еще чувствую боль в горле, особенно при глотании, и у меня есть легкий насморк. Я не замечал других симптомов, таких как кашель или боль в груди. Я никогда раньше не сталкивался с подобными симптомами. Надеюсь, вы сможете мне помочь и назначить правильное лечение. К сожалению, я не могу сказать, почему я заболел, так как не имею медицинского образования. Будьте добры, скажите, что со мной не так и как мне лучше поступить. Спасибо!",гастрит
"Здравствуйте! Я не очень хорошо себя чувствую. Была боль в животе, тошнота и несколько раз понос. Но в рвотных массах не было крови. Симптомы появились несколько дней назад и постепенно ухудшались. Хронических заболеваний у меня нет, но на работе я часто ем фастфуд, возможно, это повлияло на мой желудок.",инсульт
"Здравствуйте, я не чувствую себя очень хорошо. У меня появилась сыпь с зудом на теле и лице, а также повышение температуры тела. Я заметил это около недели назад. Я испытываю дискомфорт и чувствую себя слабым. У меня не было сильных головных болей или проблем с дыханием. Я не имею хронических заболеваний, которые могли бы быть связаны с этим.",ангина
"Здравствуйте, я не чувствую себя хорошо. У меня болит горло и я испытываю дискомфорт при глотании. У меня также наблюдаются пятна на задней стенке горла. Я не испытываю боль в ушах или зубах. Я начал замечать симптомы пару дней назад и они постепенно усиливались. Я не страдаю хроническими заболеваниями, которые могут вызывать аналогичные симптомы.",корь
"Здравствуйте, я чувствую себя очень усталым и слабым в последнее время. Я заметил, что у меня бывает головокружение и недостаток воздуха. Еще я часто становлюсь бледным и быстро устаю при физической нагрузке. Но у меня нет болей или температуры. Эти симптомы начали проявляться около месяца назад и в последнее время не улучшаются. Я не страдаю хроническими заболеваниями, которые могут быть связаны с этим, насколько я знаю.",ветрянка
"Здравствуйте, я пришел на прием, потому что чувствую дискомфорт в области мочевого пузыря. Это началось пару дней назад, когда я почувствовал частое и болезненное мочеиспускание, а также небольшую боль при мочеиспускании. Я не замечал при этом повышенной температуры тела или сильных болей в животе. У меня нет хронических заболеваний, которые могут быть связаны с этими симптомами. Я обеспокоен тем, что это может быть серьезной проблемой и хочу узнать, как мне лучше лечиться.",цистит
