,labels,text_ready
67,spam,нынешний ур наградить комплиментарный поездка eurodisinc trav aco entry41 1000 претензия txt dis 87121 18 50 morefrmmob shracomorsglsuplt 10 ls1 3aj
68,spam,слышать новый диворец барби это приходить весь вещь кен
69,ham,планировать завершить месяц
70,ham,успешный человек сэкономить деньга
71,ham,завершиться класс ты
72,ham,хотеть родиться дом хотеть когда нибыть родиться
73,ham,вы работать
74,ham,мочь позвонить сейчас
75,ham,ждать machan позвонить я свободный
76,ham,господин быть относиться достоинство уважение
77,ham,очень нравиться народ очень стыдный
78,ham,работать
79,ham,это самый здесь искать работа сколько зарабатывать
80,ham,извинить звонить поздний
81,ham,позвонить прямо сейчас
82,ham,около дорога домой
83,ham,быть место человек
84,ham,yup следующий остановка
85,ham,звонить поздний сеть срочно смс
86,ham,реальный получать я нужный дополнительный билет один дополнительный куртка сделать использовать мой multis
87,ham,да начать отправлять запрос сделать это боль вернуться вернуться постель двойной монета завод тоже
88,ham,сам дело сегодня вечером бабушка
89,ham,эла кано il download come wen ur free
90,ham,да стоить закрывать tho что то поймать
91,ham,извинить это боль ли встретить другой ночь провести поздний следобед случайно это означать сделать один stuff42moro это включать мой часовой лист то извинить
92,ham,улыбка удовольствие улыбка боль улыбка боль улыбка боль улыбка боль улыбка боль улыбка боль улыбка боль улыбка боль улыбка боль улыбка боль улыбка боль улыбка боль улыбка боль улыбка боль улыбка боль улыбка боль улыбка боль улыбка боль улыбка боль улыбка боль
93,spam,пожалуйста позвонить наш представитель обслуживание клиент 0800 169 6031 10м 9м гарантировать 1000 наличный 5000 премия
94,ham,планировать купить поздний проверять лидо получить 530 шоу день
95,spam,ваш бесплатный кольцо ждать сбор просто ввести пароль mix 85069 проверка get usher britney fml po box 5249 mk17 92h 450ppw 16
96,ham,смотреть фильм тэлег what abt
97,ham,заканчивать нагрузка заём который должный заплатить
98,ham,здравствуйте wk порядок дыра сейчас да некоторый время забыть прибор стрижка четыре нужно заранее прийти домой душа
99,ham,видеть чашка кофе анимация
100,ham,пожалуйста писать большой нечего сказать
101,ham,около наименование ur цена тот пора пока законный wen мочь взять они ave ams xx
102,ham,искать автомобиль покупка пройти тест вождение
103,ham,ваш запрос melle melle oru minnaminunginte nurungu vettam установить ваш звонок callers
104,ham,wow правый иметь вид это делать думать когда то отказаться бостонский мужчина изменить свой местоположение поиск nyc что то измениться
105,ham,ум жизнь вава umma любить очень дорога
106,ham,большой спасибо пожелание день рождение спасибо то сделать день рождение действительно запоминаться
107,ham,восемь поймать ты получить некоторый деньга
108,ham,ip адрес проверить компьютер являться сервер minecraft
109,ham,знать грубый старый человек мой мама лгать сейчас снова играть шутка
110,ham,волноваться думать занятый
111,ham,плюральный аспект научный исследование
112,ham,пойти вечеринка msg после
113,ham,порядок это хорошо любить попробовать новый вещь бояться дун мах
114,spam,gent пытаться связаться вы минувший выходной чертёж показывать выиграть 1000 фунт стерлинг звонить 09064012160 код претензия k52
115,ham,ой открывать очень формальный фраза любой случай порядок она слишком путин вес хах что то особенный случиться
116,ham,войти кабина папа сказать счастливый босс день чувствовать особенный попросить обед обед пригласить свой апартамент
117,spam,победитель специально выбрать получать 1000 отпуск полёт inc поговорить живой оператор претензия 0871277810910p min 18
118,ham,да должный говорить пятница соотношение яйцеклетка картофель tortilla необходимо
119,ham,дядя сообщить я платить школа напрямую
120,spam,private ваш отчёт счёт 2004 07742676969 показывать 786 неоплаченный бонусный балл претензия звонить 08719180248 идентификационный код 45239 истекать
121,spam,угрента ваш мобильный номер наградить 2000 бонусный звонок премия 03 это наш последний попытка связаться звонок landline 09064019788 box42wr29c 150ppm
122,ham,новый адрес apples pairs all that malarky
123,spam,тодая вода цифра заканчиваться 7548 выбираться получить награда 350 матч пожалуйста звонить 08712300220 цитировать код претензия 4041 стандартный курс приложение
124,ham,пойти сегодня сделать 12
125,ham,предсказать сколько время закончиться покупка
126,ham,хороший вещь это быть
127,ham,так знать ятунд направить деньга просто послать текст беспокоиться отправление что конец конец нужно заниматься чем либо должный наложить первый очередь это извиняться
128,ham,комната
129,ham,хей дирло надежаета мень дело бак долго час дать звонок сума время луцикс
130,ham,сколько это стоить
131,ham,дом
132,ham,дорогой звонить tmorrow pls сопровождать
133,ham,первый очередь ответить вопрос
134,spam,sunshine quiz wkly выиграть хороший dvd плеер sony знать страна находиться algarve txt ansr 82277
135,spam,хотеть разместить сегодня вечером хотеть реальный курильщик отправить час прямо присоединяться крупный сеть курильщик великобритания bt txting gravel 69888 nt ec2a 31p msg 150p
136,ham,haf msn это yijue hotmail com
137,ham,там звонить встретить
138,ham,
139,spam,быть rcv какой либо другой msgs чат svc бесплатный hardcore услуга текст go на 69988 получить должный age проверить yr сеть попробовать снова
140,ham,мочь написать забыть лекция видеть кусок хороший
141,ham,написать я дорога
142,ham,ждать ваш письмо
143,ham,никогда уставать делать маленький вещь любящий человек коза маленький вещь занимать больший часть свой сердце
144,ham,знать есть мочь открыть спина
145,ham,да смотреть дот
146,ham,каков имя персонал который занимать занятие мы
147,spam,freemsg почему ответить текст ранди секси женский живой местный luv слышать netcollex ltd 08700621170150p msg ответ перестать конец
148,ham,ummma will call after check in our life will start from qatar so pls pray very hard умма will call after check in our life will start from qatar so pls pray very hard умма will call after check in our life will start from qatar so pls pray very hard
149,ham,удалить контакт почему
150,ham,синд получить работа birla soft
151,ham,вино течь быть
152,ham,yup thk cine cos нужда опускаться plaza mah
153,ham,около типичный ответ
154,ham,ваш запрос melle melle oru minnaminunginte nurungu vettam установить ваш звонок callers
155,ham,везде сухой пол окно мой костюм иногда открывать рот течь мечтать свой мир вы затем половина мой работа выходить время радость я телевизионный шоу увидеть думать всё просто должный существовать дождь грязь грязь мой время заканчиваться стать один
156,ham,aaooooright работа
157,ham,покидать свой дом
158,ham,здравствуйте любовь делать сегодня попасть интервью счастливый хороший мальчик думать я хватать
159,spam,новый год доставка ожидание вы пожалуйста звонить 07046744435 сейчас организовать доставка
160,spam,победитель специально выбрать получать 1000 наличные отпуск полёт inc поговорить живой оператор претензия 0871277810810
161,ham,дать безопасность я нужный вы пропускать вы завидовать весь видеть реальный жизнь
162,ham,новый автомобиль дом мой родитель новый работа рука
163,ham,влюбиться ты возбудить каждый день который проводить ты делать счастливый
164,spam,pls stop bootydelious 32 приглашать друг ответить yes 434 no 434 посмотреть она stop
165,spam,должный получить сервис msg скачать ur контент не goto wap bangb tv ur мобильный интернет сервис меню
166,ham,размещать точка время модуль культура
167,spam,нужно пытаться связаться вы минувший выходной чертёж показывать выиграть 900 фунт стерлинг звонить 09061701939
168,ham,здравствуйте хороший способ избежать неправильный понимание наш любимый
169,ham,фантазировать мост нужный лагерь
170,ham,это полностью вне форма также уточнить отход
171,ham,сэр нужный аккаунт axis bank банковский адрес
172,ham,hmmm thk sure have time to hop ard yes can go free abt muz call to discuss liao
173,ham,какой время приезжать поздний
174,ham,кровавый ад кант верить забыть мой фамилия иль дать указ испанский начинаться
175,ham,ну быть закончить ванна сейчас добро ночь
176,ham,позволить знать деньга карлос мочь позвонить
177,ham,ходить центр
178,ham,выходить мой друг оставаться весь спектакль вернуться чувствовать свободный идти вперёд курить стоить
179,ham,отвечать позволить знать мочь зарегистрировать
180,ham,здравствуйте просто разговаривать maneesha хотеть знать довольный опыт
181,ham,поднять мой надежда предложение деньга нужный особенно конец месяц приближаться это болеть мой обучение
182,ham,лола не мочь доверять я
183,ham,господин быть относиться достоинство уважение
184,ham,быть близкий
185,ham,сказать поздравлять
186,ham,здравствуйте красиво найти работа ложный работать тем вернуть сетка мама бойтой сейчас
187,ham,удивительно быть минута
188,spam,пожалуйста позвонить наш представитель обслуживание клиент freephone 0808 145 4742 9м 11м гарантировать 1000 наличный 5000 премия
189,ham,радио часы xmas нет быть получать это
190,ham,прийти домой идти бат сначала сис использовать сеть рассказать вы закончиться
191,spam,достаточно уникальный узнать 30 август
192,ham,извинить присоединиться лига человек который оставаться контакт иметь большой значение я друг время больший личный стоимость
193,ham,здравствуйте конец конец закончить курс
194,ham,менее предлагать оставаться кто то смочь давать орех каждый стол
195,ham,делать надеяться установить новый учебный год просто пожелать г8 день
196,ham,слава бог добрый день
197,ham,появиться история этот человек
198,ham,думать спросить он встреча 1pm оркарда мерт
199,ham,надеяться мочь видеть завтра некоторый время нужно кровоточить малыш
200,ham,наслать он enc находиться
201,ham,посылать бук
202,ham,hello darlin ive закончить колледж txt закончить мочь любить кейт xxx
203,ham,ваш аккаунт успешно рефинансировать inr decimal ваш баланс аккаунт keralacircle prepaid составлять rs decimal ваш идентификатор транзакция kr
204,ham,добрый утро спать
205,ham,звонить 11 ok
206,ham,мочь сказать тот пора пока быть покупать эриксон мочь сказать что
207,ham,войти кабина папа сказать счастливый босс день чувствовать особенный попросить обед обед пригласить свой апартамент
208,ham,восемь датс прямой собака
209,ham,пожалуйста связаться мы сегодня прежде decimal вернуть счёт
210,ham,стрелять больший нагрузка быть готовый
211,ham,такой бруть надеяться больший перерыв
212,ham,дом мочь разговаривать
213,ham,проучиться
214,ham,иоанн иоанн иоанн иоанн
215,ham,звучать дом
216,ham,наконец матч направляться сторона чертёж ваш предсказание
217,ham,утомлённый спасть последний несколько ночь
218,ham,easy ah sen выбрать означать хороший
219,ham,должный пройти экзамен март
220,ham,думать мочь использовать свой gt atm регистрация уверенный любой случай мочь помочь сообщить быть уверить готовый
221,ham,около проба использовать время
222,ham,os называть ubandu который работать установка жёсткий диск мочь использовать os копировать важный файл система дать ремонт магазин
223,ham,извинить звонить поздний
224,ham,говорить лех конечно происходить лех говорить романтический сок немного лех
225,spam,500 новый мобильный телефон 2004 год потребный идеть txt nokia no 89545 собирать свой сегодня топный фунт 2optout 087187262701 50gbp mtmsg18
226,ham,очень понравиться позвонить я просто нужно кто то поговорить
227,spam,встретить партнёр ur мечта скорый время являться ur карьера летательный старт найти бесплатно txt horo следовать ur звёздный знак horo aries
228,ham,компания elama po mudyadhu
229,ham,жизнь строгий учитель учитель bcoz учить урок затем проводить экзамен жизнь сначала проводить экзамен затем учить урок
230,ham,добрый утро вставать
231,ham,пойти gandhipuram ходить пересечь дорога правый сторона улица поворачиваться первый право
232,ham,дорогой идти наш место грязь
233,ham,извинить батарея умереть да
234,ham,да телевизор доступный рабочий место
235,spam,текст встретиться кто то сексуальный сегодня мочь найти дата флирт присоединяться 10p реплия name age эг 25 18 msg recd thirtyeight pence
236,ham,напечатать приезжать вверх
237,ham,болеть немного близкий автобусный остановка тот улица
238,ham,вы хотеть попасть сюда
239,ham,новый теория аргумент выигрывать ситуация терять человек расставаться друг просто удари сказать право
240,spam,447801259231 иметь тайный поклонник который смотреть связаться открыть открыть думать ur специальный звонок 09058094597
241,ham,окончательный слушание tomarrow мой лаптоп пею
242,ham,оригинальный название pleassssseeeeeee tel me avent done sportsx
243,ham,около нет просто блестеть это предназначить подписание это звучать хороший
244,ham,несмотря то сказать вы баба лицо часы сейчас действительно любить часы дать cos это фр благодарить всё сделать сегодня
245,ham,помнить старый бизнес
246,ham,слишком поздно сказать сайт иметь иметь слайдер
247,ham,попросить называть около
248,ham,калли бояться второй тайм
249,ham,это работать снова добрый ночь тогда поправить готовый тот время просыпаться очень дорого терять хороший ночный сон
250,spam,поздравление присвоить 500 купон cd 125gift гарантировать бесплатный вход 100 wkly draw txt music 87066 tncs
251,ham,ranjith cal drpd deeraj deepak 5min держать
252,ham,wen ur любящий bcums гнев wid dnt принимать это серьёзно coz гнев являться самый детский истинный способ показать глубокий любовь забота лув kettoda manda have nice day da
253,ham,делать как вы
254,ham,упс который также день судоходный компания который занимать 2wks способ упс который занимать неделя получать остановиться понадобиться бриллиант получить ваш вещь
255,ham,вернуться лемма знать готовый
256,ham,нужно ждать это сделать пока вернуться выйти
257,ham,mmm yummy babe nice jolt the suzy
258,ham,влюбить ты нужный
259,spam,попытаться связаться вы повторить ваш ответ наш оферта video handset 750 любой время сеть минус unlimited text camcorder ответить позвонить 08000930705 now
260,ham,паркировать рядом минь приезжать сегодня думать
261,ham,юп
262,ham,любой случай быть покупать свой собственный сейчас сис сделать дун беспокоить лиао
263,ham,номер лутоня 0125698789 ring me if ur around
264,spam,hey really horny want to chat or see me naked text hot to 69698 text charged at 150pm to unsubscribe text stop 69698
265,ham,почему приходить мы
266,ham,итак ванна планировать поездка какой то момент
267,ham,неудивительный пытаться задержать он
268,spam,сервис ur ringtone измениться 25 бесплатный кредит идти club4mobiles com выбрать контент сейчас stop txt club stop 87070 150p wk club4 po box1146 mk45 2wt
269,ham,просто должный скачать флёша ревность
270,spam,ringtone club получать график британский сингл ваш мобильный телефон каждый неделя выбрать любой высококачественный рингтон
271,ham,приходить мы выделять наш наркотический ситуация
272,ham,ночь закончиться день утро прийти особый образ пусть улыбаться солнечный луч оставить свой беспокойство голубой голубой залив
273,spam,hmv bonus special 500 фунт настоящий hmv ваучер выиграть просто ответить простой вопрос играть сейчас отправить hmv 86688 информация
274,ham,усф думать также взять автомобиль
275,ham,никакой возражение бф приходить
276,ham,спасибо
277,ham,рассказать роба тот гф театр
278,ham,прекрасно увидеть вскоре
279,ham,пожалуйста обращаться мы какой тип пища нравиться
280,ham,сделать передать празднование полный свинец ещё
281,ham,называть инструмент
282,ham,wen пропустить кто то человек определённо особенный вы человек особенный почему пропустить просто keep in touch gdeve
283,ham,спросить деньга далеко
284,ham,ока
285,ham,да думать обычный парень по прежний пройти минувший ночь понять кто то позволить знать бросить
286,ham,мочь приехать сегодня вечером класс уйти рано
287,ham,около
288,ham,hi baby im cruisin мой девушка подруга up дать звонить час дом это правильно звонить фон любовь jenny xxx
289,ham,жизнь я потому любить жизнь потому любить человек мой жизнь мир называть друг называть мой мир
290,ham,дорогой пожалуйста почта tonite busy улица пожалуйста обновлять tonite things смотреть ok varunnathu edukkukayee raksha ollu but хороший реальный смысл
291,ham,говорить свой имя гаут
292,ham,чувствовать настолько глупый cam работать
293,ham,опс получить это немного
294,ham,бузить
295,ham,случайно удалить сообщение пожалуйста
296,spam,клиент mobile претендовать обновление ваш бесплатный камера фон платёжный sim карта ваш лояльность звонить 0845 021 3680 оферта заканчиваться 28 февраль
297,ham,это ситуация который гурла целесообразно
298,ham,болеть я убия я пусть плач конец мой жизнь умирать плз держать могила роза говорить хватать ты
299,ham,мочь взять телефон прямо сейчас pls отправить сообщение
300,ham,нужно кофе нельзя поверить это время неделя
301,ham,удивительно помнить последний получить кто то высокий впервые дизель
302,ham,шайта который действительно шокировать пугать представить секунда отправиться ночь думать где то мочь столкнуться ночь сэкономить такси
303,ham,пища холодильник хотеть выйти обед сегодня вечером
304,ham,невероятный актёр
305,spam,sms ac blind date 4u rodds1 являться 21 абердин великобритания проверить sms ac icmb3cktz8r7 blind dates send hide
306,ham,иуп тот отвергать думать должный состояние бронировать
307,ham,хотеть спросить встретиться ты
308,ham,лоля да наш дружба лежать ткан быть покупать вещь
309,spam,themob посмотреть наш последний выбор контент игра тон госсип ребёнок спорт сохранять свой мобильный функциональный текст wap 82468
310,ham,ключ гараж книжный ящик
311,ham,сегодня день применение применение как брат сестра любитель дорога1 лучший1 клос1 лвблефранд истфранд истфранд истфранд истфранд истфранд истфранд истфранд истфранд истфранд истфранд
312,spam,выбрать 200 неделя наш еженедельный квизе текст play 85222 сейчас cs winnersclub po box 84 m26 3uz 16 gbp1 50 week
313,ham,говорить дать звонок друг получить деньга обязательно покупать конец неделя
314,ham,здравствуйте вы день это нормальный путь это настоящий ur уникальный надеяться знать остаться часть мой жизнь
315,ham,сделать день прекрасный день
316,ham,продолжать счастливый понгала
317,ham,hmmm предположим мочь идти кб power yoga haha dunno мочь tahan power yoga anot thk got lo oso forgot liao
318,ham,друг бояться
319,spam,декабрь только иметь ваш мобильный телефон 11mths иметь право обновление последний цветной камера мобильный телефон бесплатно звонить the mobile update co free 08002986906
320,ham,кофейный торт думать
321,ham,поздравлять рождество любить ты любить ты любить
322,ham,почему просто хотеть смотреть men обед
323,ham,cudz tell ppl im gona bit l8 cos buses hav gon past cos полный im still waitin
324,ham,это великолепно быть гильда встретиться дорога бристоль где то контакт выходной наш план быть летать
325,ham,проблема это делать
326,ham,никакой звонок пропустить звонок
327,ham,здравствуйте выглядеть сегодняшний класс
328,ham,сказать это хороший знак но хорошо знать рекорд чтение женщина
329,ham,пожалуйста написать я парковка
330,ham,читать текст который послать вы это означать это шутка
331,ham,аппо хороший фильм
332,ham,возможно мочь бронировать томый затем вернуть сразу что то
333,spam,звонить германия фунт минута звонить фиксировать линия номер доступ 0844 861 85 85
334,ham,любой шанс который мочь иметь я испариться нарушить мой конфиденциальность украсть номер телефон бумага ваш работодатель
335,spam,день святой валентина специальный выиграть 1000 фунт стерлинг наш квизе взять партнёр поездка жизнь отправить go 83600 сейчас 150p msg rcvd custcare 08718720201
336,ham,дааааааааааааааааааааааааааааааа
337,ham,итак победить съесть ранний
338,ham,спать сёрфинг
339,ham,извинить звонить поздний
340,ham,звонить правильно позвонить телефон
341,ham,хорошо это очень большой спасибо
342,ham,принимать пост прийти тогда ты должный иметь тысяча текст сейчас счастливый чтение мой wiv hello caroline конец являться мой любимый
343,ham,скрывать незнакомый
344,ham,заинтересованный тот это делать
345,ham,сестра проделать раунд мягкий бира вчера
346,ham,гуднит тк практика продолжаться
347,ham,дис ия видеть ур почта случай хуминг хавента отправить номер дис номер
348,ham,маленький престижный проблема сейчас
349,spam,fancy shag do interested sextextuk com txt xxuk suzy 69876 txts стоить 50 мсг
350,ham,просто проверять вы действительно видеть иеремий отличный месяц
351,ham,нет мочь помочь iphone
352,ham,мой автомобиль час пол пойти апэшитый
353,ham,когда либо злой ты когда либо злоупотреблять наносить вред plz plz just slap urself bcoz its ur fault basically good
354,ham,когда нибыть выяснить сколько мы нужно алкоголь джей пытаться выяснить сколько мочь безопасно потратить виноград
355,ham,ish minutes was minutes ago
356,ham,спасибо звонок забыть сказать happy onam sirji помнить вы встретить страховщик срещаться катар инша аллах рахэш бывший тат аиг который присоединиться tissco tayseer
357,spam,поздравление присвоить 500 купон cd 125gift гарантировать бесплатный вход 100 wkly draw txt music 87066 tncs
358,spam,ура денежный кредитный баланс настоящий время составлять 500 фунт стерлинг максимизировать ура денежный кредитный баланс отправлять cash 86688 150p msg cc 08708800282 hg suite342 2lands row w1j6hl
359,ham,работать работать вечером спать поздно безработный данный момент спать поздно безработный каждый день суббота
360,ham,здравствуйте просто приезжать сюда сента андрюс бой длинный путь холод
361,ham,хотеть счастливый хотеть счастливый
362,ham,около проба
363,ham,проверить статус audrey прямо
364,ham,попробовать закончить новый год нетерпение ждать встреча вы
365,ham,добрый утро солнце как просыпаться день мы освежить счастливый живой мы дышать воздух улыбаться думать ты любовь
366,ham,знать ухаживать я волноваться
367,spam,update_now xmas offer latest motorola sonyericsson nokia free bluetooth double mins 1000 txt on orange call mobileupd8 on 08000839402 or call2optout f4q
368,spam,ваш код скидка rp176781 остановка дальнейший сообщение ответ остановить клиентский услуга 08717205546
369,ham,какой униформа какой
370,ham,холодно написать я готовый
371,ham,здравствуйте бойтой гей терять проснуться желать постель я пробуждать я любить вы
372,ham,пойти постель
373,ham,пойти ванна мсг следующий мина
374,ham,мочь продолжать разговаривать человек уверенный мочь заплатить они согласный цена плс сказать я действительно хотеть купить сколько готовый заплатить
375,spam,благодарить ваш заказ ringtone reference t91 быть оплачивать гбп неделя мочь отказаться любой время звонить служба клиент телефон 09057039994
376,ham,мочь сказать происходить
